Date,CPI
Dec-1998,0.4
Mar-1999,-0.1
Jun-1999,-0.4
Sep-1999,-0.5
Dec-1999,0.5
Mar-2000,1.5
Jun-2000,2.0
Sep-2000,3.0
Dec-2000,4.0
Mar-2001,3.1
Jun-2001,3.2
Sep-2001,2.4
Dec-2001,1.8
Mar-2002,2.6
Jun-2002,2.8
Sep-2002,2.6
Dec-2002,2.7
Mar-2003,2.5
Jun-2003,1.5
Sep-2003,1.5
Dec-2003,1.6
Mar-2004,1.5
Jun-2004,2.4
Sep-2004,2.5
Dec-2004,2.7
Mar-2005,2.8
Jun-2005,2.8
Sep-2005,3.4
Dec-2005,3.2
Mar-2006,3.3
Jun-2006,4.0
Sep-2006,3.5
Dec-2006,2.6
Mar-2007,2.5
Jun-2007,2.0
Sep-2007,1.8
Dec-2007,3.2
Mar-2008,3.4
Jun-2008,4.0
Sep-2008,5.1
Dec-2008,3.4
Mar-2009,3.0
Jun-2009,1.9
Sep-2009,1.7
Dec-2009,2.0
Mar-2010,2.0
Jun-2010,1.7
Sep-2010,1.5
Dec-2010,4.0
Mar-2011,4.5
Jun-2011,5.3
Sep-2011,4.6
Dec-2011,1.8
Mar-2012,1.6
Jun-2012,1.0
Sep-2012,0.8
Dec-2012,0.9
Mar-2013,0.9
Jun-2013,0.7
Sep-2013,1.4
Dec-2013,1.6
Mar-2014,1.5
Jun-2014,1.6
Sep-2014,1.0
Dec-2014,0.8
Mar-2015,0.3
Jun-2015,0.4
Sep-2015,0.4
Dec-2015,0.1
Mar-2016,0.4
Jun-2016,0.4
Sep-2016,0.4
Dec-2016,1.3
Mar-2017,2.2
Jun-2017,1.7
Sep-2017,1.9
Dec-2017,1.6
Mar-2018,1.1
Jun-2018,1.5
Sep-2018,1.9
Dec-2018,1.9
Mar-2019,1.5
Jun-2019,1.7
Sep-2019,1.5
Dec-2019,1.9
Mar-2020,2.5
Jun-2020,1.5
Sep-2020,1.4
Dec-2020,1.4
Mar-2021,1.5
Jun-2021,3.3
Sep-2021,4.9
Dec-2021,5.9